,DESC_DEFECT
0, these seat belt assemblies were manufactured without a lap portion that is lockable so as to secure a child safety seat 
1,  there may be an intermittent fault in the driver's airbag clockspring wiring connector for the supplemental restraint system 
2,  the sensor designed to detect vehicle roll can malfunction resulting in an inadvertent deployment of the protection system 
3,  one or more rivets that attach the airbag module to the airbag cover may be missing 
4,  the driver side frontal airbag has a shorting bar which may intermittently contact the airbag terminals 
5,  the cable for the occupant classification system (ocs) may become damaged when sliding the passenger seat forward or backward 
6,  some vehicles may have been built with the incorrect airbag occupant restraint control (orc) module 
7, the passenger side curtain airbag will not deploy in the event of a side impact collision when the front passenger seat is empty  although the side curtain airbag system was designed to suppress the side curtain airbag 
8,  the circuits on the control module of the aps may short and cause an inadvertent airbag deployment 
9,  the affected vehicles may have improperly sized terminal crimps on the seat side-airbag wiring harness which may cause the seat side-airbags to malfunction and illuminate the airbag warning light 
10, the driver side frontal airbag has a shorting bar which may intermittently contact the airbag terminals 
11,  the second stage of the dual-stage airbag will not inflate in a severe frontal impact  
12,  sensors within the passenger occupant detection system (ods) may have been manufactured out of specification   this may cause the system to malfunction and permanently suppress the passenger airbag 
13,  the affected vehicles have airbag clockspring assemblies that could experience broken airbag circuits 
14,  these vehicles are equipped with an occupant classification system (ocs) that may not correctly differentiate between a child seat or a very light person being in the front passenger seat 
15,takata has determined that the inflators in certain frontal passenger-side airbag inflators it manufactured and supplied to various vehicle manufacturers may produce excessive internal pressure causing the inflators to rupture upon deployment of the airbag.
16,  the occupant restraint control module (orc) has incorrect software installed which may adversely affect airbag deployments in collisions 
17,"  welding on the passenger airbag inflator may fracture when the airbag is deployed, allowing some gas from the airbag inflator to vent behind the instrument panel, instead of into the airbag "
18,  a software error may result in the opposite side airbags deploying from the collision point (a left side impact would deploy the right side airbags and vice versa) 
19,  electrical over-stress of a resistor in the occupant restraint control module may lead to the non-deployment of the active head restraints during a rear impact collision 
20,"  in the affected vehicles, the drain hose for the air conditioning condenser may become clogged causing water to accumulate at the bottom of the air conditioning condenser unit housing   the accumulated water may then leak through a seam in the housing onto the airbag control module potentially resulting in a short circuit of the module "
21,"the ocs sensor mat installed in the front passenger seat may fail due to repeated flexing of the mat from use of the seat   as a result, during a crash necessitating deployment, the airbag will deploy regardless of whether the front seat occupant is an adult or a child "
22,"  due to a production process error, the tear seam on the instrument panel was not manufactured correctly "
23,the driver side seat mounted airbag wiring may have been improperly routed during the leather seat cover installation process 
24,"  in the affected vehicles, due to insufficient clearance, the supplemental restraint system (srs) connector located in the driver and front passenger side seat of the vehicle may become disconnected "
26,the airbag assembly installed in the steering wheel may come loose from its mounting 
27,  the affected vehicles may experience circuit corrosion from water intrusion around the in-floor battery cover and door footwell trim 
28, vibrations from the drive shaft may cause the vehicle's roll over sensor to command the roof rail airbags to deploy 
